ID,Content,Covers,ASIL,Fault ID,Detection Time,Reaction Time,Debounce,Recovery,Safe State,DTC,Verification
SWE2_REQ_0001,"THE Signal Acquisition module SHALL read the VehSpd signal from the CAN input buffer and perform range validation against [0 kph to 250 kph] within [40 ms] of reception, flagging F_OOR_HI_VEHSPD when the value exceeds the upper bound and F_OOR_LO_VEHSPD when the value is below the lower bound.","SYS_REQ_0001,SYS_REQ_0002,SYS_REQ_0003",ASIL B,"F_OOR_HI_VEHSPD, F_OOR_LO_VEHSPD",8 ms,8 ms,3 cycles,N/A,N/A,"DTC_101_VSPD_OOR_HI, DTC_101_VSPD_OOR_LO",Unit Test / SIL
SWE2_REQ_0002,"THE Timeout Monitor module SHALL start a watchdog timer on each valid reception of VehSpd and SHALL set F_TO_VEHSPD if no new sample of VehSpd arrives within [50 ms], notifying the Fault Manager within [5 ms] of expiry.",SYS_REQ_0004,ASIL B,F_TO_VEHSPD,5 ms,5 ms,N/A,N/A,N/A,DTC_101_VSPD_TO,Unit Test / SIL
SWE2_REQ_0003,"THE Alive Counter Monitor module SHALL compare the VehSpd AliveCounter value of the current cycle with the previous cycle and SHALL set F_ALC_VEHSPD if the value has not incremented for [3 consecutive cycles], reporting the fault to the Fault Manager within [5 ms].",SYS_REQ_0005,ASIL B,F_ALC_VEHSPD,5 ms,5 ms,3 cycles,N/A,N/A,DTC_101_VSPD_ALC,Unit Test / SIL
SWE2_REQ_0004,THE CRC Validation module SHALL compute the CRC-8 checksum over the received VehSpd message payload and SHALL set F_CRC_VEHSPD within [5 ms] if the computed value does not match the transmitted CRC byte.,SYS_REQ_0006,ASIL B,F_CRC_VEHSPD,5 ms,5 ms,N/A,N/A,N/A,DTC_101_VSPD_CRC,Unit Test / SIL
SWE2_REQ_0005,"WHEN the Fault Manager receives any active fault from {F_OOR_HI_VEHSPD, F_OOR_LO_VEHSPD, F_TO_VEHSPD, F_ALC_VEHSPD, F_CRC_VEHSPD}, THE Reaction module SHALL command Torque = 0 Nm, disable LKA, activate the driver Warning, and set the corresponding DTC within [10 ms] of fault confirmation.","SYS_REQ_0002,SYS_REQ_0003,SYS_REQ_0004,SYS_REQ_0005,SYS_REQ_0006",ASIL B,"F_OOR_HI_VEHSPD, F_OOR_LO_VEHSPD, F_TO_VEHSPD, F_ALC_VEHSPD, F_CRC_VEHSPD",N/A,10 ms,N/A,N/A,"Torque = 0 Nm, LKA OFF, Warning ON","DTC_101_VSPD_OOR_HI, DTC_101_VSPD_OOR_LO, DTC_101_VSPD_TO, DTC_101_VSPD_ALC, DTC_101_VSPD_CRC",Unit Test / SIL
SWE2_REQ_0006,"WHILE F_TO_VEHSPD is active, THE Recovery module SHALL monitor VehSpd validity and SHALL clear F_TO_VEHSPD plus extinguish DTC_101_VSPD_TO within [15 ms] once VehSpd has been continuously valid for [500 ms].",SYS_REQ_0007,ASIL B,F_TO_VEHSPD,N/A,15 ms,500 ms,Resume operation,N/A,DTC_101_VSPD_TO,Unit Test / Recovery Test
SWE2_REQ_0007,"THE Signal Acquisition module SHALL read the YawRate signal from the CAN input buffer and perform range validation against [-120 deg/s to 120 deg/s] within [40 ms] of reception, flagging F_OOR_HI_YAWRATE when the value exceeds the upper bound and F_OOR_LO_YAWRATE when the value is below the lower bound.","SYS_REQ_0008,SYS_REQ_0009,SYS_REQ_0010",ASIL B,"F_OOR_HI_YAWRATE, F_OOR_LO_YAWRATE",8 ms,8 ms,3 cycles,N/A,N/A,"DTC_102_YAW_OOR_HI, DTC_102_YAW_OOR_LO",Unit Test / SIL
SWE2_REQ_0008,"THE Timeout Monitor module SHALL start a watchdog timer on each valid reception of YawRate and SHALL set F_TO_YAWRATE if no new sample of YawRate arrives within [50 ms], notifying the Fault Manager within [5 ms] of expiry.",SYS_REQ_0011,ASIL B,F_TO_YAWRATE,5 ms,5 ms,N/A,N/A,N/A,DTC_102_YAW_TO,Unit Test / SIL
SWE2_REQ_0009,"THE Alive Counter Monitor module SHALL compare the YawRate AliveCounter value of the current cycle with the previous cycle and SHALL set F_ALC_YAWRATE if the value has not incremented for [3 consecutive cycles], reporting the fault to the Fault Manager within [5 ms].",SYS_REQ_0012,ASIL B,F_ALC_YAWRATE,5 ms,5 ms,3 cycles,N/A,N/A,DTC_102_YAW_ALC,Unit Test / SIL
SWE2_REQ_0010,THE CRC Validation module SHALL compute the CRC-8 checksum over the received YawRate message payload and SHALL set F_CRC_YAWRATE within [5 ms] if the computed value does not match the transmitted CRC byte.,SYS_REQ_0013,ASIL B,F_CRC_YAWRATE,5 ms,5 ms,N/A,N/A,N/A,DTC_102_YAW_CRC,Unit Test / SIL
SWE2_REQ_0011,"WHEN the Fault Manager receives any active fault from {F_OOR_HI_YAWRATE, F_OOR_LO_YAWRATE, F_TO_YAWRATE, F_ALC_YAWRATE, F_CRC_YAWRATE}, THE Reaction module SHALL command Torque = 0 Nm, disable LKA, activate the driver Warning, and set the corresponding DTC within [10 ms] of fault confirmation.","SYS_REQ_0009,SYS_REQ_0010,SYS_REQ_0011,SYS_REQ_0012,SYS_REQ_0013",ASIL B,"F_OOR_HI_YAWRATE, F_OOR_LO_YAWRATE, F_TO_YAWRATE, F_ALC_YAWRATE, F_CRC_YAWRATE",N/A,10 ms,N/A,N/A,"Torque = 0 Nm, LKA OFF, Warning ON","DTC_102_YAW_OOR_HI, DTC_102_YAW_OOR_LO, DTC_102_YAW_TO, DTC_102_YAW_ALC, DTC_102_YAW_CRC",Unit Test / SIL
SWE2_REQ_0012,"WHILE F_TO_YAWRATE is active, THE Recovery module SHALL monitor YawRate validity and SHALL clear F_TO_YAWRATE plus extinguish DTC_102_YAW_TO within [15 ms] once YawRate has been continuously valid for [500 ms].",SYS_REQ_0014,ASIL B,F_TO_YAWRATE,N/A,15 ms,500 ms,Resume operation,N/A,DTC_102_YAW_TO,Unit Test / Recovery Test
SWE2_REQ_0013,"THE Signal Acquisition module SHALL read the DriverTorque signal from the CAN input buffer and perform range validation against [-15 Nm to 15 Nm] within [20 ms] of reception, flagging F_OOR_HI_DRIVERTORQUE when the value exceeds the upper bound and F_OOR_LO_DRIVERTORQUE when the value is below the lower bound.","SYS_REQ_0015,SYS_REQ_0016,SYS_REQ_0017",ASIL D,"F_OOR_HI_DRIVERTORQUE, F_OOR_LO_DRIVERTORQUE",8 ms,8 ms,3 cycles,N/A,N/A,"DTC_103_TRQ_OOR_HI, DTC_103_TRQ_OOR_LO",Unit Test / SIL
SWE2_REQ_0014,"THE Timeout Monitor module SHALL start a watchdog timer on each valid reception of DriverTorque and SHALL set F_TO_DRIVERTORQUE if no new sample of DriverTorque arrives within [30 ms], notifying the Fault Manager within [5 ms] of expiry.",SYS_REQ_0018,ASIL D,F_TO_DRIVERTORQUE,5 ms,5 ms,N/A,N/A,N/A,DTC_103_TRQ_TO,Unit Test / SIL
SWE2_REQ_0015,"THE Alive Counter Monitor module SHALL compare the DriverTorque AliveCounter value of the current cycle with the previous cycle and SHALL set F_ALC_DRIVERTORQUE if the value has not incremented for [3 consecutive cycles], reporting the fault to the Fault Manager within [5 ms].",SYS_REQ_0019,ASIL D,F_ALC_DRIVERTORQUE,5 ms,5 ms,3 cycles,N/A,N/A,DTC_103_TRQ_ALC,Unit Test / SIL
SWE2_REQ_0016,THE CRC Validation module SHALL compute the CRC-8 checksum over the received DriverTorque message payload and SHALL set F_CRC_DRIVERTORQUE within [5 ms] if the computed value does not match the transmitted CRC byte.,SYS_REQ_0020,ASIL D,F_CRC_DRIVERTORQUE,5 ms,5 ms,N/A,N/A,N/A,DTC_103_TRQ_CRC,Unit Test / SIL
SWE2_REQ_0017,"WHEN the Fault Manager receives any active fault from {F_OOR_HI_DRIVERTORQUE, F_OOR_LO_DRIVERTORQUE, F_TO_DRIVERTORQUE, F_ALC_DRIVERTORQUE, F_CRC_DRIVERTORQUE}, THE Reaction module SHALL command Torque = 0 Nm, disable LKA, activate the driver Warning, and set the corresponding DTC within [10 ms] of fault confirmation.","SYS_REQ_0016,SYS_REQ_0017,SYS_REQ_0018,SYS_REQ_0019,SYS_REQ_0020",ASIL D,"F_OOR_HI_DRIVERTORQUE, F_OOR_LO_DRIVERTORQUE, F_TO_DRIVERTORQUE, F_ALC_DRIVERTORQUE, F_CRC_DRIVERTORQUE",N/A,10 ms,N/A,N/A,"Torque = 0 Nm, LKA OFF, Warning ON","DTC_103_TRQ_OOR_HI, DTC_103_TRQ_OOR_LO, DTC_103_TRQ_TO, DTC_103_TRQ_ALC, DTC_103_TRQ_CRC",Unit Test / SIL
SWE2_REQ_0018,"WHILE F_TO_DRIVERTORQUE is active, THE Recovery module SHALL monitor DriverTorque validity and SHALL clear F_TO_DRIVERTORQUE plus extinguish DTC_103_TRQ_TO within [15 ms] once DriverTorque has been continuously valid for [500 ms].",SYS_REQ_0021,ASIL D,F_TO_DRIVERTORQUE,N/A,15 ms,500 ms,Resume operation,N/A,DTC_103_TRQ_TO,Unit Test / Recovery Test
SWE2_REQ_0019,"THE Signal Acquisition module SHALL read the SteeringAngle signal from the CAN input buffer and perform range validation against [-720 deg to 720 deg] within [20 ms] of reception, flagging F_OOR_HI_STEERINGANGLE when the value exceeds the upper bound and F_OOR_LO_STEERINGANGLE when the value is below the lower bound.","SYS_REQ_0022,SYS_REQ_0023,SYS_REQ_0024",ASIL B,"F_OOR_HI_STEERINGANGLE, F_OOR_LO_STEERINGANGLE",8 ms,8 ms,3 cycles,N/A,N/A,"DTC_104_SWA_OOR_HI, DTC_104_SWA_OOR_LO",Unit Test / SIL
SWE2_REQ_0020,"THE Timeout Monitor module SHALL start a watchdog timer on each valid reception of SteeringAngle and SHALL set F_TO_STEERINGANGLE if no new sample of SteeringAngle arrives within [30 ms], notifying the Fault Manager within [5 ms] of expiry.",SYS_REQ_0025,ASIL B,F_TO_STEERINGANGLE,5 ms,5 ms,N/A,N/A,N/A,DTC_104_SWA_TO,Unit Test / SIL
SWE2_REQ_0021,"THE Alive Counter Monitor module SHALL compare the SteeringAngle AliveCounter value of the current cycle with the previous cycle and SHALL set F_ALC_STEERINGANGLE if the value has not incremented for [3 consecutive cycles], reporting the fault to the Fault Manager within [5 ms].",SYS_REQ_0026,ASIL B,F_ALC_STEERINGANGLE,5 ms,5 ms,3 cycles,N/A,N/A,DTC_104_SWA_ALC,Unit Test / SIL
SWE2_REQ_0022,THE CRC Validation module SHALL compute the CRC-8 checksum over the received SteeringAngle message payload and SHALL set F_CRC_STEERINGANGLE within [5 ms] if the computed value does not match the transmitted CRC byte.,SYS_REQ_0027,ASIL B,F_CRC_STEERINGANGLE,5 ms,5 ms,N/A,N/A,N/A,DTC_104_SWA_CRC,Unit Test / SIL
SWE2_REQ_0023,"WHEN the Fault Manager receives any active fault from {F_OOR_HI_STEERINGANGLE, F_OOR_LO_STEERINGANGLE, F_TO_STEERINGANGLE, F_ALC_STEERINGANGLE, F_CRC_STEERINGANGLE}, THE Reaction module SHALL command Torque = 0 Nm, disable LKA, activate the driver Warning, and set the corresponding DTC within [10 ms] of fault confirmation.","SYS_REQ_0023,SYS_REQ_0024,SYS_REQ_0025,SYS_REQ_0026,SYS_REQ_0027",ASIL B,"F_OOR_HI_STEERINGANGLE, F_OOR_LO_STEERINGANGLE, F_TO_STEERINGANGLE, F_ALC_STEERINGANGLE, F_CRC_STEERINGANGLE",N/A,10 ms,N/A,N/A,"Torque = 0 Nm, LKA OFF, Warning ON","DTC_104_SWA_OOR_HI, DTC_104_SWA_OOR_LO, DTC_104_SWA_TO, DTC_104_SWA_ALC, DTC_104_SWA_CRC",Unit Test / SIL
SWE2_REQ_0024,"WHILE F_TO_STEERINGANGLE is active, THE Recovery module SHALL monitor SteeringAngle validity and SHALL clear F_TO_STEERINGANGLE plus extinguish DTC_104_SWA_TO within [15 ms] once SteeringAngle has been continuously valid for [500 ms].",SYS_REQ_0028,ASIL B,F_TO_STEERINGANGLE,N/A,15 ms,500 ms,Resume operation,N/A,DTC_104_SWA_TO,Unit Test / Recovery Test
SWE2_REQ_0025,"THE Signal Acquisition module SHALL read the TurnSignal signal from the CAN input buffer and perform range validation against [0 enum to 3 enum] within [240 ms] of reception, flagging F_OOR_HI_TURNSIGNAL when the value exceeds the upper bound and F_OOR_LO_TURNSIGNAL when the value is below the lower bound.","SYS_REQ_0029,SYS_REQ_0030,SYS_REQ_0031",QM,"F_OOR_HI_TURNSIGNAL, F_OOR_LO_TURNSIGNAL",8 ms,8 ms,3 cycles,N/A,N/A,"DTC_105_TRN_OOR_HI, DTC_105_TRN_OOR_LO",Unit Test / SIL
SWE2_REQ_0026,"THE Timeout Monitor module SHALL start a watchdog timer on each valid reception of TurnSignal and SHALL set F_TO_TURNSIGNAL if no new sample of TurnSignal arrives within [250 ms], notifying the Fault Manager within [5 ms] of expiry.",SYS_REQ_0032,QM,F_TO_TURNSIGNAL,5 ms,5 ms,N/A,N/A,N/A,DTC_105_TRN_TO,Unit Test / SIL
SWE2_REQ_0027,"THE Alive Counter Monitor module SHALL compare the TurnSignal AliveCounter value of the current cycle with the previous cycle and SHALL set F_ALC_TURNSIGNAL if the value has not incremented for [3 consecutive cycles], reporting the fault to the Fault Manager within [5 ms].",SYS_REQ_0033,QM,F_ALC_TURNSIGNAL,5 ms,5 ms,3 cycles,N/A,N/A,DTC_105_TRN_ALC,Unit Test / SIL
SWE2_REQ_0028,"WHEN the Fault Manager receives any active fault from {F_OOR_HI_TURNSIGNAL, F_OOR_LO_TURNSIGNAL, F_TO_TURNSIGNAL, F_ALC_TURNSIGNAL}, THE Reaction module SHALL command Torque = 0 Nm, disable LKA, activate the driver Warning, and set the corresponding DTC within [10 ms] of fault confirmation.","SYS_REQ_0030,SYS_REQ_0031,SYS_REQ_0032,SYS_REQ_0033",QM,"F_OOR_HI_TURNSIGNAL, F_OOR_LO_TURNSIGNAL, F_TO_TURNSIGNAL, F_ALC_TURNSIGNAL",N/A,10 ms,N/A,N/A,"Torque = 0 Nm, LKA OFF, Warning ON","DTC_105_TRN_OOR_HI, DTC_105_TRN_OOR_LO, DTC_105_TRN_TO, DTC_105_TRN_ALC",Unit Test / SIL
SWE2_REQ_0029,THE Diagnostic Trigger module SHALL evaluate the TurnSignal enum range per SYS_REQ_0029 and shall forward out-of-range values to the Fault Manager for further classification.,,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unit Test
SWE2_REQ_0030,THE Diagnostic Event Manager module SHALL log all confirmed and healed faults with a timestamp and cycle count into non-volatile memory for post-drive diagnostic readout.,,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unit Test
SWE2_REQ_0031,"THE Software Initialization module SHALL configure all signal input buffers, timers, and fault flags to their default power-on state within [100 ms] of ECU reset.",,QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unit Test
SWE2_REQ_0032,THE Steering Actuator Interface module SHALL reject any commanded torque request outside the actuator's mechanical limit of plus or minus 15 Nm and SHALL saturate the output to the nearest valid limit.,,ASIL D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unit Test